Id,SalePrice
1461,113308.28885999428
1462,142345.65322199799
1463,164157.5872778986
1464,179600.9014490413
1465,207056.02948424453
1466,174056.92259532254
1467,169921.84479598276
1468,169767.6236695258
1469,193874.63560860467
1470,113443.50992072416
1471,199264.67080707042
1472,122189.85438529335
1473,114924.41044167057
1474,156091.47930392082
1475,139028.10676228997
1476,357547.0873915281
1477,269296.367584856
1478,306110.1532008881
1479,291778.2237939888
1480,455673.2620979545
1481,312568.26732409507
1482,226606.11347806815
1483,182992.56162129203
1484,188779.87739571257
1485,180267.23581755464
1486,205818.39785045237
1487,325465.81440050254
1488,270286.8810940083
1489,199215.603262151
1490,194214.69483443117
1491,202302.77719301573
1492,103829.13740082578
1493,178741.01628912732
1494,289433.25141299237
1495,286350.7567390673
1496,214524.12556612553
1497,204600.1086395342
1498,175595.3651820468
1499,175983.7274788
1500,161729.47607008024
1501,172622.18565662886
1502,168430.21658205293
1503,266736.40888451674
1504,234820.45147403685
1505,213567.45194449526
1506,190887.1335719952
1507,230514.9183059502
1508,184214.15407717662
1509,162088.5952517049
1510,139935.71634062214
1511,138811.50001341058
1512,153655.57976167602
1513,159175.41891765883
1514,150143.8726955199
1515,198985.89911321053
1516,144693.1098436944
1517,148880.9585659497
1518,153951.54479652367
1519,216564.1727583323
1520,121100.58540233076
1521,124060.93362320813
1522,165305.10378106651
1523,108609.10483387706
1524,112273.98385346933
1525,111624.89879326946
1526,113461.78131425995
1527,110112.85164401292
1528,139826.21789105455
1529,133587.73449961978
1530,168965.1332348574
1531,110453.61378130745
1532,93401.11163514081
1533,141343.10174671578
1534,136850.71031823364
1535,145685.99133695607
1536,114215.3996809277
1537,84251.26434266745
1538,166978.09064978425
1539,199462.27940144995
1540,123132.25032426114
1541,150463.20854476216
1542,142090.0942920104
1543,187582.89941303647
1544,87311.41261064081
1545,115642.22113022493
1546,130020.06703775622
1547,118701.04187344096
1548,129348.71175179054
1549,118663.65234671663
1550,127453.50012673541
1551,119074.08665147421
1552,126624.90333654608
1553,130446.75711781153
1554,129031.31568593286
1555,142860.84562823444
1556,104290.19493192872
1557,107210.77243818437
1558,110028.98272356027
1559,101564.0470886648
1560,126077.8866671506
1561,133029.9854925669
1562,124621.26017997487
1563,112826.65935675956
1564,155069.4970925346
1565,137448.052281351
1566,206075.390490646
1567,94287.69092075227
1568,192285.36260452226
1569,111777.75958031704
1570,131868.23123470158
1571,118793.53439452448
1572,132594.01082820556
1573,225244.64121620168
1574,139353.58205112183
1575,199266.28188357406
1576,220093.83794552914
1577,199300.36405273806
1578,138741.35192529086
1579,142302.6870126721
1580,200384.59162161447
1581,132310.72570875814
1582,125207.59733251063
1583,308989.7680439375
1584,226242.60748192965
1585,154064.4461082173
1586,84443.61112747145
1587,106231.17236656563
1588,128357.91835475825
1589,108033.9137112502
1590,138816.9107861805
1591,93678.01498969129
1592,126633.89095077047
1593,121852.4977900018
1594,127516.72317173501
1595,112480.17454717086
1596,196625.89081873524
1597,171666.49505040087
1598,193136.6095058948
1599,189555.47946189865
1600,197973.01980141367
1601,67961.27954133977
1602,120739.97616058812
1603,87840.58857705523
1604,249545.81631528787
1605,259677.85671739912
1606,160593.00794648274
1607,212271.42868236045
1608,223288.25348868052
1609,197411.36952471803
1610,153187.9230917467
1611,142650.0703234141
1612,174604.14331893675
1613,165709.90495845245
1614,118596.24288852594
1615,95543.08167365345
1616,95543.08167365345
1617,105105.51458424561
1618,123644.09053225532
1619,129421.10495803849
1620,191280.69314080378
1621,143842.37044489986
1622,128579.67652061055
1623,252184.57604801425
1624,192067.5207425391
1625,120223.53652613572
1626,168961.30694316598
1627,179533.74934939208
1628,285230.03347104735
1629,187823.91088140625
1630,340907.33463836
1631,227449.8014185285
1632,246709.21863036332
1633,176279.25777817896
1634,181777.87469874436
1635,167530.44031347358
1636,165468.71842498513
1637,165827.2209860603
